StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Latitude_Subgroup,Longitude,Longitude_Subgroup,MAPmean,MAPmean_Subgroup,MATmean,MATmean_Subgroup,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,Primer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
15,15B,"Chen et al., 2022 (c)",2022,Nong’an County,"44°05_N, 124°51_E",44.0833,La40,124.85,Lo-0-180,44.66666794,MAP600,5.133333206,MAT8,,Maize,"Maize, Peanut",Peanut,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Rhizosphere,Unknow,Unknow,Retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,ITS1,,Fungal Richness,Fungal Richness,468.11,113.81,428.47,64.44,9,9,-0.088482587,0.009081043,,,,,NA,NA,,1.309,-0.063876657,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
15,15C,"Chen et al., 2022 (c)",2022,Nong’an County,"44°05_N, 124°51_E",44.0833,La40,124.85,Lo-0-180,44.66666794,MAP600,5.133333206,MAT8,,Maize,"Maize, Peanut",Peanut,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Unknow,No_retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,ITS1,,Fungal Richness,Fungal Richness,326.77,49.21,421.27,58.51,9,9,0.254017399,0.004663247,,,,,NA,NA,,1.253,0.02599595,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
15,15D,"Chen et al., 2022 (c)",2022,Nong’an County,"44°05_N, 124°51_E",44.0833,La40,124.85,Lo-0-180,44.66666794,MAP600,5.133333206,MAT8,,Maize,"Maize, Peanut",Peanut,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Unknow,Retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,ITS1,,Fungal Richness,Fungal Richness,423.94,33.28,441.92,57.12,9,9,0.041536934,0.002541017,,,,,NA,NA,,1.353,-0.013393057,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35°87_N, 104°15_E",36.45,La20-40,104.26667,Lo-0-180,20.16666603,MAP600,9,MAT8-15,,Maize,"Winter wheat, Maize",Wheat,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Non-Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D5,,1,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,1063.14,120.27,1099.27,57.06,4,4,0.03341953,0.003873027,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35°87_N, 104°15_E",36.45,La20-40,104.26667,Lo-0-180,20.16666603,MAP600,9,MAT8-15,,Maize,"Winter wheat, Maize",Wheat,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D5,,1,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,960.18,152.56,984.04,150.67,4,4,0.02454578,0.012172211,,,,,7.8,-0.040554936,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,11.39,-0.071881776,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35°87_N, 104°15_E",36.45,La20-40,104.26667,Lo-0-180,20.16666603,MAP600,9,MAT8-15,,Maize,"Potato, Maize",Potato,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Non-Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D5,,1,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,1063.14,120.27,1034.99,25.5,4,4,-0.026835029,0.003351195,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35°87_N, 104°15_E",36.45,La20-40,104.26667,Lo-0-180,20.16666603,MAP600,9,MAT8-15,,Maize,"Potato, Maize",Potato,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D5,,1,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,960.18,152.56,958.74,94.24,4,4,-0.001500845,0.00872677,,,,,7.8,0.035268139,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,11.39,-0.444861429,,NA,NA,,NA,NA,,NA,NA
23,,"Eberly et al., 2024",2024,Montana State University,45°40'02.47’’N 111°03'16.64’’W,45.667353,La40,-111.054622,Lo-180-0,39.66666794,MAP600,6.983333588,MAT8,,Wheat,"Spring pea, Proso millet, Safflower, Wheat","Spring pea, Proso millet, Safflower",,Liliopsida,Multiple,Liliopsida to Multiple,,Poaceae to Multiple,Non-legume to Legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D5,,1,4,R4,4,ITS2,,Fungal Richness,Fungal Richness,312.14,59.99,142.55,28.99,4,4,-0.78375899,0.01957375,,,,,7.608,0.023897241,,1.82,0.016349138,,2,0.004987542,,0.1944,-0.014508026,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
30,30A,"Gahagan et al., 2023",2023,Ottawa,"45°23_13.6_N, 75°43_15.6_W",45.387111,La40,-75.721,Lo-180-0,76.16666412,MAP600-1200,6.283333302,MAT8,,Maize,"Maize, Soybean, Wheat","Soybean, Wheat",,Liliopsida,Multiple,Liliopsida to Multiple,,Poaceae to Multiple,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Coarse,Tillage,Unknow,Fertilizer,D1,D5,,1,3,R3,3,ITS1,,Fungal Richness,Fungal Richness,7.34565,3.363538745,10.6807,3.826102978,12,24,0.374330073,0.022819251,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
30,30B,"Gahagan et al., 2023",2023,Ottawa,"45°23_13.6_N, 75°43_15.6_W",45.387111,La40,-75.721,Lo-180-0,76.16666412,MAP600-1200,6.283333302,MAT8,,Soybean,"Maize, Soybean, Wheat","Maize, Wheat",,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Coarse,Tillage,Unknow,Fertilizer,D1,D5,,1,3,R3,3,ITS1,,Fungal Richness,Fungal Richness,9.7942,3.729105389,10.6807,3.826102978,12,24,0.086648001,0.017427552,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
