StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Longitude,MAPmean,MATmean,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,BacterialPrimer,FungalPrimer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
41,41D,"Hong et al., 2020",2020,"Ledong County, Hainan Province, China","18¡23_N, 108¡44_E",18.383333,108.733333,103.83334,25.508333,,Banana,"Chilli pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D3,,1.5,2,R2,3,V4,ITS1,,Fungal PD,Fungal PD,169.56,53.21,300.86,8.28,3,3,0.573438194,0.033078507,,,,,4.526315789,0.285353783,,0.516821346,0.293557037,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,259.57,0.067659009,,144.49,0.026768413,,NA,NA,,NA,NA
67,67A,"Liu et al., 2019 (b)",2019,Heihe Branch of Heilongjiang Academy of Agricultural Sciences in Northeast PR China,"50¡15_12__N, 127¡27_40__E",50.25333,127.46111,45.75,0.708333373,,Soybean,"Soybean, Maize, Soybean, Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Reproductive stage,Non-Rhizosphere,Medium,Unknow,Unknow,Unknow,D1-3,D4,,2,2,R2,4,NA,ITS1,,Fungal PD,Fungal PD,90.5485,4.132684419,99.325,4.402457269,12,12,0.092511683,0.000337305,,,,,4.61,0.085202077,,NA,NA,,1.846,0.010239917,,0.137,0.239074373,,6.62,-0.113449539,,122.14,-0.063458378,,15.67,0.406953045,,122.15,0.498900524,,176.82,0.198524457,,NA,NA
67,67B,"Liu et al., 2019 (b)",2019,Heihe Branch of Heilongjiang Academy of Agricultural Sciences in Northeast PR China,"50¡15_12__N, 127¡27_40__E",50.25333,127.46111,45.75,0.708333373,,Soybean,"Soybean, Maize, Soybean, Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Unknow,Unknow,Unknow,D1-3,D4,,2,2,R2,4,NA,ITS1,,Fungal PD,Fungal PD,90.5485,4.132684419,99.57803333,5.21064023,12,12,0.095055973,0.000401766,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
75,75C,"Liu et al., 2020 (b)",2020,Heihe Branch of Heilongjiang Academy of Agricultural Sciences in northeast China,"50¡15_12__N, 127¡27_40__E",50.25333,127.46111,45.75,0.708333373,,Soybean,"Soybean, Maize ",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Reproductive stage,Non-Rhizosphere,Medium,Unknow,Unknow,Unknow,D1-3,D4,,2,2,R2,4,V3,ITS1,,Fungal PD,Fungal PD,85.6566,4.0404,93.5354,2.2222,4,4,0.087993695,0.000697355,,,,,4.69,0.066003333,,NA,NA,,1.878,-0.010168672,,0.124,0.242313467,,NA,NA,,NA,NA,,16.27,0.364694331,,122.6,0.709328763,,172.2,0.183578993,,NA,NA
75,75D,"Liu et al., 2020 (b)",2020,Heihe Branch of Heilongjiang Academy of Agricultural Sciences in northeast China,"50¡15_12__N, 127¡27_40__E",50.25333,127.46111,45.75,0.708333373,,Soybean,"Soybean, Maize ",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Unknow,Unknow,Unknow,D1-3,D4,,2,2,R2,4,V3,ITS1,,Fungal PD,Fungal PD,70.7071,2.4242,97.5758,1.0101,4,4,0.32208352,0.000320658,,,,,4.69,0.066003333,,NA,NA,,1.878,-0.010168672,,0.124,0.242313467,,NA,NA,,NA,NA,,16.27,0.364694331,,122.6,0.709328763,,172.2,0.183578993,,NA,NA
91,91D,"Qin et al., 2022",2022,"Chabei Administration District, Zhangjiakou City, Hebei Province, China","41¡25_00__N, 114¡55_57__E",41.416667,114.9325,32.33333206,4.291666985,,Potato,"Potato, Oat, Faba bean","Oat, Faba bean",,Magnoliopsida,Multiple,Magnoliopsida to Multiple,,Solanaceae to Multiple,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Harvest,Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D3,,1,3,R3,3,V3-V4,ITS1,,Fungal PD,Fungal PD,172.1,11.60474041,199,18.70614872,3,3,0.145229122,0.004460992,,,,,8.1,0,,0.837209302,0.130053128,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,17.7,-0.126293725,,28.9,0.063673095,,64.8,0.110900696,,NA,NA
91,91E,"Qin et al., 2022",2022,"Chabei Administration District, Zhangjiakou City, Hebei Province, China","41¡25_00__N, 114¡55_57__E",41.416667,114.9325,32.33333206,4.291666985,,Potato,"Oat, Faba bean, Potato","Oat, Faba bean",,Magnoliopsida,Multiple,Magnoliopsida to Multiple,,Solanaceae to Multiple,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D3,,1,3,R3,3,V3-V4,ITS1,,Fungal PD,Fungal PD,172.1,11.60474041,197.2,5.715767665,3,3,0.136142739,0.001795648,,,,,8.1,0,,0.837209302,0.117783036,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,17.7,-0.241675799,,28.9,-0.490276956,,64.8,0.055528142,,NA,NA
91,91F,"Qin et al., 2022",2022,"Chabei Administration District, Zhangjiakou City, Hebei Province, China","41¡25_00__N, 114¡55_57__E",41.416667,114.9325,32.33333206,4.291666985,,Potato,"Faba bean, Potato, Oat","Oat, Faba bean",,Magnoliopsida,Multiple,Magnoliopsida to Multiple,,Solanaceae to Multiple,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D3,,1,3,R3,3,V3-V4,ITS1,,Fungal PD,Fungal PD,172.1,11.60474041,192.3,20.95781477,3,3,0.110980949,0.005474855,,,,,8.1,0,,0.837209302,0.105360516,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,17.7,-0.263494847,,28.9,-0.358158991,,64.8,0.08288766,,NA,NA
91,91J,"Qin et al., 2022",2022,"Chabei Administration District, Zhangjiakou City, Hebei Province, China","41¡25_00__N, 114¡55_57__E",41.416667,114.9325,32.33333206,4.291666985,,Potato,"Potato, Oat, Faba bean","Oat, Faba bean",,Magnoliopsida,Multiple,Magnoliopsida to Multiple,,Solanaceae to Multiple,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Harvest,Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D3,,1,3,R3,3,V3-V4,ITS1,,Fungal PD,Fungal PD,156.8,14.89563695,159.9,14.20281662,3,3,0.019577512,0.005638035,,,,,8.2,0,,0.872093023,0.058268908,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,101.7,0.034786116,,219.3,0.038904974,,64.2,0.125712745,,NA,NA
91,91K,"Qin et al., 2022",2022,"Chabei Administration District, Zhangjiakou City, Hebei Province, China","41¡25_00__N, 114¡55_57__E",41.416667,114.9325,32.33333206,4.291666985,,Potato,"Oat, Faba bean, Potato","Oat, Faba bean",,Magnoliopsida,Multiple,Magnoliopsida to Multiple,,Solanaceae to Multiple,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D3,,1,3,R3,3,V3-V4,ITS1,,Fungal PD,Fungal PD,156.8,14.89563695,172.5,11.25833025,3,3,0.095426129,0.004428056,,,,,8.2,-0.012270093,,0.872093023,0.101352494,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,101.7,-0.019861626,,219.3,-0.752803279,,64.2,0.036701367,,NA,NA
91,91L,"Qin et al., 2022",2022,"Chabei Administration District, Zhangjiakou City, Hebei Province, China","41¡25_00__N, 114¡55_57__E",41.416667,114.9325,32.33333206,4.291666985,,Potato,"Faba bean, Potato, Oat","Oat, Faba bean",,Magnoliopsida,Multiple,Magnoliopsida to Multiple,,Solanaceae to Multiple,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D3,,1,3,R3,3,V3-V4,ITS1,,Fungal PD,Fungal PD,156.8,14.89563695,175.7,19.39896904,3,3,0.113806887,0.007071614,,,,,8.2,-0.012270093,,0.872093023,0.026317308,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,101.7,-0.034003276,,219.3,-0.102173625,,64.2,0.047157026,,NA,NA
133,133A,"Zhang et al., 2024 (a)",2024,"Sijian Village, Chengxi Town, Changchun City, central Jilin Province","125¡26.83_E, 44¡30.77_N",44.512833,125.447167,45.33333206,5.041666985,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Maturity stage,Rhizosphere,Medium,Unknow,Unknow,Fertilizer,D5-10,D11-20,,6,2,R2,12,NA,ITS1,,Fungal PD,Fungal PD,192.6032,10.99500522,174.889,12.65352364,5,5,-0.096480627,0.001698724,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
D13,NA,"Feng et al., 2022",2022,Taizhou,"32.4552¡N, 120.8697¡E",32.4552,120.8697,84.91666412,15,,Tomato,"Tomato, Eggplant",Eggplant,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Solanaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Harvest,Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D2,,1,2,R2,2,V4-V5,ITS2,,Fungal PD,Fungal PD,158.5981,15.85981,192.833,19.2833,5,5,0.1954512,0.004,,,,,7.95,-0.064957896,,1.545823666,-0.032414659,,NA,NA,,0.2,-0.105360516,,NA,NA,,NA,NA,,32.95,0.041610758,,187.5,0.110944894,,NA,NA,,NA,NA
D13,NA,"Feng et al., 2022",2022,Taizhou,"32.4552¡N, 120.8697¡E",32.4552,120.8697,84.91666412,15,,Tomato,"Tomato, Chinese Water Chestnut",Water chestnut,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Solanaceae to Cyperaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Annual to Perennial,Consistent,Harvest,Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D2,,1,2,R2,2,V4-V5,ITS2,,Fungal PD,Fungal PD,158.5981,15.85981,221.9722,22.19722,5,5,0.33617882,0.004,,,,,7.95,0.012500163,,1.545823666,-0.080042708,,NA,NA,,0.2,-0.105360516,,NA,NA,,NA,NA,,32.95,0.135464273,,187.5,0.183787149,,NA,NA,,NA,NA
D19,D19A,"Huang et al., 2023",2023,Jiaxing,"30.8333¡N, 120.9111¡E",30.8333,120.9111,91,16.29166603,,Melon,"Melon, Rice",Rice,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Cucurbitaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Unknow,Rhizosphere,Unknow,Unknow,Unknow,Unknow,D1,D1,,1,2,R2,1,NA,ITS1,,Fungal PD,Fungal PD,87.46,18.67150771,89.09,13.56195782,3,3,0.018465549,0.022916542,,,,,6.205882353,-0.0264121,,1.798143852,0.067558151,,NA,NA,,0.229591837,0.004434597,,47.75510204,-0.411895998,,3.959183673,-0.074901308,,275.5813953,-0.106767975,,435,-0.015444322,,NA,NA,,NA,NA
D19,D19C,"Huang et al., 2023",2023,Ningbo,"29.8784¡N, 121.5480¡E",29.8784,121.548,106.5,17.20833397,,Melon,"Melon, Barley",Barley,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Cucurbitaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Unknow,Rhizosphere,Unknow,Unknow,Unknow,Unknow,D1,D1,,1,2,R2,1,NA,ITS1,,Fungal PD,Fungal PD,99.2,6.564472561,79.48,9.26647182,3,3,-0.221632597,0.005990648,,,,,5.117647059,0.058594164,,1.759474091,-0.2135741,,NA,NA,,0.205102041,-0.240709875,,13.87755102,-1.386294361,,9.346938776,-1.426388818,,60.46511628,-0.395895657,,88.33333333,-0.099090903,,NA,NA,,NA,NA
