StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Longitude,MAPmean,MATmean,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,BacterialPrimer,FungalPrimer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
88,88A,"Orrù et al., 2021",2021,"Foggia Province, Southern Italy, Apulia region","41°27_57.3__N, 15°30_19.8__E",41.465917,15.5055,41.33333206,15.66666698,,Wheat,"Wheat, Tick bean",Tick bean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Reproductive stage,Non-Rhizosphere,Unknow,No_tillage,No_retention,Fertilizer,D3-5,D6-10,,4.5,2,R2,9,NA,ITS1,,Fungal Simpson,Fungal Simpson,0.725123,0.025789706,0.698128,0.020573529,4,4,-0.037938829,0.000533348,,,,,7.79,0,,1.66,0,,NA,NA,,0.131,-0.023167059,,NA,NA,,NA,NA,,240.7,0.256884448,,1974,-0.134950839,,NA,NA,,NA,NA
88,88B,"Orrù et al., 2021",2021,"Foggia Province, Southern Italy, Apulia region","41°27_57.3__N, 15°30_19.8__E",41.465917,15.5055,41.33333206,15.66666698,,Wheat,"Wheat, Tick bean",Tick bean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Reproductive stage,Non-Rhizosphere,Unknow,Tillage,Retention,Fertilizer,D3-5,D6-10,,4.5,2,R2,9,NA,ITS1,,Fungal Simpson,Fungal Simpson,0.8072906,0.015647647,0.883744,0.009272647,4,5,0.090483725,0.000115943,,,,,7.85,0.001273075,,1.59,0.030962226,,NA,NA,,0.101,0.085359849,,NA,NA,,NA,NA,,171.8,0.337220335,,1559.7,-0.030729584,,NA,NA,,NA,NA
98,,"Song et al., 2022 (a)",2022,"Nenjiang County, Heilongjiang Province, China","124.933333°E, 49°N",49,124.933333,40.33333206,0.741666794,,Soybean,"Maize, Soyben",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Tillage,Unknow,Fertilizer,D5-10,D11-20,,6,2,R2,12,NA,ITS1,,Fungal Simpson,Fungal Simpson,0.03456566,0.00343435,0.06787878,0.009292925,3,3,0.674862764,0.009538257,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
98,,"Song et al., 2022 (a)",2022,"Nenjiang County, Heilongjiang Province, China","124.933333°E, 49°N",49,124.933333,40.33333206,0.741666794,,Soybean,"Wheat, Soyben",Wheat,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Tillage,Unknow,Fertilizer,D5-10,D11-20,,6,2,R2,12,NA,ITS1,,Fungal Simpson,Fungal Simpson,0.03456566,0.00343435,0.0421616,0.004949475,3,3,0.198649151,0.007884325,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
99,99A,"Song et al., 2022 (b)",2022,Nenjiang County,"49˚N, 124˚680_E",49,126.33333,44.16666794,-0.341666549,,Soybean,"Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D5-10,D11-20,,6,2,R2,12,NA,ITS1,,Fungal Simpson,Fungal Simpson,0.04,0.010392305,0.07,0.019052559,3,3,0.559615788,0.047193878,,,,,6.235849057,0.001511716,,4.224488903,-0.475198446,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,25.15384615,0.42664593,,324.4230769,-0.757409115,,388.4615385,-0.214517497,,NA,NA
99,99B,"Song et al., 2022 (b)",2022,Nenjiang County,"49˚N, 124˚680_E",49,126.33333,44.16666794,-0.341666549,,Soybean,"Wheat, Soybean",Wheat,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D5-10,D11-20,,6,2,R2,12,NA,ITS1,,Fungal Simpson,Fungal Simpson,0.04,0.010392305,0.04,0.010392305,3,3,0,0.045,,,,,6.235849057,-0.007897975,,4.224488903,-0.475198446,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,25.15384615,0.636528287,,324.4230769,-0.337302457,,388.4615385,-0.448455293,,NA,NA
103,103C,"Tian et al., 2023",2023,"Xiangshan Township, Zhongwei City, Ningxia Hui Autonomous Region, China","105°15_E, 36°56_N",36.933333,105.25,20.58333397,7.841666698,,Watermelon,"Watermelon, Watermelon,Watermelon,Watermelon,Watermelon,Watermelon, Wheat",Wheat,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Cucurbitaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Maturity stage,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D6-10,,1,2,R2,7,V3-V5,ITS1,,Fungal Simpson,Fungal Simpson,0.212821,0.211536,0.0987179,0.0769233,9,9,-0.768185149,0.177238858,,,,,8.55,0.019687955,,0.361046512,0.304448932,,NA,NA,,0.017,1.137078569,,36,0.99119204,,NA,NA,,10.5,-1.121734706,,120,0.161268148,,NA,NA,,NA,NA
103,103D,"Tian et al., 2023",2023,"Xiangshan Township, Zhongwei City, Ningxia Hui Autonomous Region, China","105°15_E, 36°56_N",36.933333,105.25,20.58333397,7.841666698,,Watermelon,"Watermelon, Sunflower",Sunflower,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Cucurbitaceae to Asteraceae,Non-legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Maturity stage,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D3-5,D6-10,,3.5,2,R2,7,V3-V5,ITS1,,Fungal Simpson,Fungal Simpson,0.212821,0.211536,0.162821,0.126921,9,9,-0.267799999,0.177288919,,,,,8.55,0.008153802,,0.361046512,0.050246047,,NA,NA,,0.017,0.567984038,,36,0.130053128,,NA,NA,,10.5,-0.856226491,,120,-0.114662908,,NA,NA,,NA,NA
113,NA,"Wang et al., 2023 (b)",2023,"Hecun base, Yangqu county, Taiyuan city, Shanxi Organic Dry Farming Research Institute, Shanxi Agricultural University","38°04_N, 112°89_E",38.06667,113.48333,36.16666794,9.041666985,,Cabbage,"Cabbage, Maize, Cabbage",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Brassicaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1-3,D3,,1.5,2,R2,3,NA,ITS1,,Fungal Simpson,Fungal Simpson,6.68,1.454922678,7.58,0.658179307,3,3,0.126395212,0.018325896,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,10.8,0.215708573,,129.66,0.247132388,,100.63,0.007425409,,NA,NA
113,NA,"Wang et al., 2023 (b)",2023,"Hecun base, Yangqu county, Taiyuan city, Shanxi Organic Dry Farming Research Institute, Shanxi Agricultural University","38°04_N, 112°89_E",38.06667,113.48333,36.16666794,9.041666985,,Kidney bean,"Kidney bean, Maize, Cabbage","Maize, Cabbage",,Magnoliopsida,Multiple,Magnoliopsida to Multiple,,Fabaceae to Multiple,Legume to Non-legume,AM to nonAM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D3,,1,3,R3,3,NA,ITS1,,Fungal Simpson,Fungal Simpson,7.87,0.08660254,7.73,0.242487113,3,3,-0.0179492,0.000368381,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,11.22,-0.023445619,,181.3,-0.327860773,,120.75,-0.199815299,,NA,NA
